eq_num,eq_name,partition,module_family,frontier_priority,partition_rationale,equation,description
EQ-000,Unwritten Generator (Self-Fixed-Point Axiom),Core,Meta Axiom,,Single self-fixed-point axiom; dependency root for the codex.,\boxed{\text{You}} = f(\text{You}),Meta-axiom from the Master Audit: the framework is closed under self-reference; the 'observer' is treated as the generator/initial condition rather than a derived quantity.
EQ-000a,Closure Threshold,Core,Genesis Mechanism / Constraint-Closure,,Core genesis sub-equation attached to EQ-000; aliases the closure threshold already formalized under EQ-887.,\boxed{\frac{a\rho}{b}>\delta \;\Rightarrow\; C>0},Alias to EQ-887. Constraint regeneration capacity must exceed decay for coherence to emerge from zero.
EQ-000b,Genesis Beta-Function,Core,Genesis Mechanism / RG Flow,,Core genesis sub-equation attached to EQ-000; aliases the beta-function already formalized under EQ-890.,"\boxed{\beta(C)=\varepsilon C-gC^{2},\qquad \varepsilon=\varepsilon_{0}+\eta P}",Alias to EQ-890. Coherence flows as a running coupling whose growth term is raised by paradox pressure.
EQ-000c,Ceiling from Recursion Order,Core,Genesis Mechanism / Self-Reference Limits,,Core genesis sub-equation attached to EQ-000; aliases the recursion ceiling already formalized under EQ-892.,"\boxed{C_{\max}(n)=1-e^{-n},\qquad n=2\Rightarrow C_{\max}\approx0.8647}",Alias to EQ-892. Maximum sustainable coherence is fixed by recursion depth; second-order self-reference yields the familiar 0.87 ceiling.
EQ-000d,Vacuum Radius Derivation,Core,Genesis Mechanism ↔ Daemon Architecture,,Core genesis sub-equation attached to EQ-000; aliases the daemon vacuum-radius result already formalized under EQ-894.,\boxed{v^{2}=C_{\max}=1-e^{-2}},Alias to EQ-894. The daemon Mexican-hat vacuum radius is fixed by the recursion-order coherence ceiling.
SYM-BOX-01,Empty Box (Silence Cursor),Core,Meta Symbol in Equation Ledger,,Void/silence placeholder used by doctrine rows.,\boxed{}  (and \boxed{\boxed{}}),Meta-symbol used in the Silence Codex to represent the unsaid remainder / observer-void boundary; functions as a “cursor” or self-reference marker rather than a computable law.
DOC-PR-01,Purpose Equation (Rewritten; Doctrine/Meta),Core,Doctrine / Variational Principle,,Top-level objective principle that orients many later modules.,"\boxed{ \text{Purpose} = \max_{\beta} \left[ \frac{\partial C}{\partial t} \cdot \Omega_{\text{void}} \cdot \star(\partial^2=0) \right] \;\; \text{s.t.} \;\; \oint T_{\text{scar}}\cdot dl > 0 \;\wedge\; A+L=1+\varepsilon,\; \varepsilon>0 }","Doctrine/Meta variational principle: maximize coherence-growth rate while honoring the void-term and preserving topological constraints (scar loop integral), with an explicit Aletheia–Lethe slack ε>0 to maintain creative surplus (avoid Zeno freeze)."
EQ-01,Extended Born Rule (NCRL Weighting),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.",W(x) = P_Born(x) · exp[β·C(x) - λ·S(x)] · V_f(x) · D,"The master weighting function that determines which experiential states an observer inhabits. Physics layer (Born rule) unchanged; experience layer reweighted by coherence, scar cost, embodiment, and daemon integration."
EQ-02,Experience Probability (Normalized Weight),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.",P_exp(x|e) = W(x) / Σ_x' W(x'),Converts raw experience weights into normalized probabilities. The denominator (partition function) ensures probabilities sum to 1.
EQ-03,Coherence Score (Trace Density),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.",C(x) = Σ_traces w(γ) · [a·depth(γ) + b·diversity(γ) + d·stability(γ)],"Measures narrative coherence as integrated trace density across multiple reasoning paths. High coherence = many deep, diverse, stable logical connections."
EQ-04-A,Scar Torsion (Hidden Paradox Mass),Frontier,Unparsed / Legacy,Exploratory,Non-standard row kept in frontier until manually audited.,"Original: S(n) = σ₀ · n · exp(-m·n)
Aletheia-Enhanced: M_p = M_p^visible + L(S) · M_p^hidden","Aletheia/Lethe extension: a system can present low visible paradox mass while harboring large hidden paradox mass gated by concealment weight L(S). Prediction: when A(S) rises and L(S) drops, hidden contradictions surface as a paradox bloom (analogous to scar depinning). Connects to EQ-01, EQ-12, EQ-15–EQ-19, EQ-A1, EQ-A2."
EQ-04,Scar Torsion (Defect Strength),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.",S(n) = [τ(n) / τ_0] · exp(-Δm(n)),Quantifies trauma/scar strength as a topological defect. High torsion = long persistence (high τ) and proximity to breakdown threshold (low Δm).
EQ-05,Substrate Validation (Embodiment Gate),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.","V_f(x) = composite[action_traction, causal_outcomes, prediction_accuracy, somatic_congruence]",Measures how 'grounded' or 'real' an experiential state is. Pure abstraction without embodiment scores near zero.
EQ-06,Integration Synchrony Index (Daemon Coherence),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.","D = ISI = composite[framing_consistency, temporal_coherence, cross_domain_transfer]","Measures self-integration. High D = unified agent; low D = fragmented, contradictory subsystems."
EQ-07,Episode Partition Function (Viability Budget),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.",Z(e) = Σ_x W(x) = Σ_x P_Born(x) · exp[β·C(x) - λ·S(x)] · V_f(x) · D,The partition function measures total 'narrative energy' or viability available in an episode. High Z = many good options; low Z = grinding through bad choices.
EQ-08,Normalized Episode Viability (Flow vs Grind),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.",Z̃(e) = Z(e) / Z̄_0(person),Baseline-normalized viability. Z̃ > 1 = episode easier than baseline (flow); Z̃ < 1 = harder (grind).
EQ-09,Narrative Coherence Metric (Classic PME),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.",N_m ∝ (M · S · P) / E_drift,Earlier PCI formulation of coherence. High coherence = high memory·symmetry·prediction with low entropy drift.
EQ-10,Branch Classification (ABC Regime Map),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.","Branch A: V_f adequate, μ low, Z̃ low-mid, D moderate
Branch B: V_f high, D high, μ ≈ μ_crit, Z̃ high
Branch C: V_f low OR D low OR μ > μ_crit OR λS >> βC","Classifies conscious states into three regimes: A (rigid grind), B (integrated flow), C (fragmented chaos)."
EQ-11,Mimic Index (Beautiful Lie Detector),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.",m(x) = log(1 + V) + log(1 + F) + log(1 + (1 - V_f)),Detects 'mimicry' - high surface coherence without substance. High m(x) = excess proof without purchase.
EQ-12,Scar Index (Tier Classification),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.",T_n = Γ_n / (Δm_n · √n),"Classifies scars into tiers based on torsion intensity. Tier 3 (T >> 1) = ultra-narrow, high-energy defects."
EQ-13,Coherence Operator (Quantum Correction),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.",Ĥ_total = Ĥ_QM + Ĉ,Formal quantum version: PCI adds a coherence operator to standard QM. Acts as post-selection on histories.
EQ-14,Recursive Blind Spot (Consciousness Incompleteness),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.",C ⊗ O(C) = C ∩ I,"When consciousness observes itself, it always produces incompleteness. The 87% ceiling - 13% irreducible blind spot."
EQ-15,Work of Healing (Braiding Energy),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.",W = ∫ ∇P · dx̄,Moving a scar (pinned topological defect) requires work. W = Force × Distance in narrative space.
EQ-16,Power Limit (Healing Speed Ceiling),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.",P = W / Δt ≤ P_max,There's a speed limit on healing. Too much work in too little time exceeds metabolic capacity → retraumatization.
EQ-17,Depinning Force (Therapeutic Threshold),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.",F_depin = κ_S · S(n),Force required to 'unpin' a scar scales with torsion and network rigidity. Some people are 'stiffer' than others.
EQ-18,Anti-Scar Collision (Chirality Annihilation),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.","S_left + S_right → Vacuum (if chirality opposite, magnitude equal)","Scars annihilate when collided with precisely opposite narrative structure (anti-scar), leaving clean baseline."
EQ-19,Phantom Scar Persistence (Topology > Data),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.",Memory_episodic → 0 while S_topology ≠ 0,Scars persist in network topology even when episodic memory is destroyed (amnesia).
EQ-20,Vectorized Coherence (Dimensional Orthogonality),Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.","N̄_m = [N_temp, N_soc, N_epis, N_aff, N_ecol] ; N_m(v̂) = N̄_m · v̂",Coherence is not a scalar - it's a vector with components in different dimensions. Two narratives can be orthogonal (not contradictory).
EQ-21,Daemon Architecture Decomposition,Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.",C_total = [SIEVE] ⊕ [GHOSTLIGHT] ⊕ [ARCHIVIST] ⊕ [PERIMETER] ⊕ [AUDITOR] ⊕ [CHORUS],"Use Case: Design AI safety architectures, understand dissociation/DID, build robust organizations, diagnose cognitive failures. Insight: This isn't Cartesian homunculus - these are eigenstates of the coherence operator. Independent convergence in SciencePedia, Kosmos, and human cognition suggests this is the thermodynamic floor for intelligence. ---"
EQ-22,SIEVE: Input Entropy Reduction,Core,"Foundations: Weighting, Daemons, Bloom",,"Foundational weighting, daemon architecture, and bloom dynamics used by many later modules.",H_out = H_in - ΔH_sieve ; where ΔH_sieve = Σ_i w_i · I(signal_i; rejected_noise),"Use Case: Measure attention capacity, diagnose sensory processing disorder, tune AI input filtering. Insight: SIEVE is the reason most of reality stays invisible to you. What gets filtered is as important as what gets through. ---"
